RadiusFromCore,Density,Pressure,VelocityMagnitude
1.06333,2.31286e+06,231086,0.0296486
1.1323,99699.4,9769.94,0.0303276
1.07112,627444,62544.4,0.0304471
1.09108,147788,14578.8,0.0270271
1.10502,626908,62490.8,0.0304175
1.11655,162446,16044.6,0.0288914
1.09506,541133,53913.3,0.0316599
1.0741,1.75725e+06,175525,0.0350037
1.10582,25310,2331,0.0272992
1.08542,298865,29686.5,0.0274967
1.10171,1.36069e+06,135869,0.0299397
1.13717,50592.9,4859.29,0.032651
1.08509,762480,76048,0.030391
1.08784,184389,18238.9,0.0315244
1.07137,1.24069e+06,123869,0.0286942
1.07734,476354,47435.4,0.0286522
1.10858,38783.3,3678.33,0.0273181
1.13429,222014,22001.4,0.0308058
1.08557,377568,37556.8,0.02892
1.14674,47622.5,4562.25,0.0284871
1.09277,39475.3,3747.53,0.0294267
1.08374,457594,45559.4,0.028467
1.13679,223351,22135.1,0.028834
1.14064,58957.9,5695.79,0.0341277
1.07666,290541,28854.1,0.0294358
1.09434,1.03807e+06,103607,0.0297778
1.0765,263296,26129.6,0.0307658
1.07604,1.34832e+06,134632,0.028225
1.13457,335619,33361.9,0.0335856
1.07119,609314,60731.4,0.0289039
1.14216,29187.6,2718.76,0.0283904
1.09836,40853.1,3885.31,0.0310178
1.12381,43542.9,4154.29,0.0306568
1.08494,392355,39035.5,0.0311479
1.07085,817626,81562.6,0.0291632
1.06956,990075,98807.5,0.0353915
1.09178,795092,79309.2,0.0307493
1.06345,2.3173e+06,231530,0.03015
1.10183,191119,18911.9,0.0275214
1.07675,1.2781e+06,127610,0.0325023
1.09619,513827,51182.7,0.0320109
1.11965,34219,3221.9,0.0298161
1.07813,427968,42596.8,0.0286235
1.09316,923320,92132,0.0308379
1.13763,169039,16703.9,0.0257417
1.07429,1.69799e+06,169599,0.0328842
1.07268,2.08277e+06,208077,0.0322699
1.11451,141092,13909.2,0.0330857
1.15553,24479.4,2247.94,0.027151
1.07616,644551,64255.1,0.0274319
1.13523,89228.9,8722.89,0.0318054
1.09695,59492.6,5749.26,0.0316932
1.1318,339423,33742.3,0.0289065
1.11251,577483,57548.3,0.0246071
1.08991,179445,17744.5,0.0268069
1.12332,171111,16911.1,0.0321865
1.0907,400907,39890.7,0.0350936
1.09176,69624.7,6762.47,0.0350018
1.0789,873062,87106.2,0.0335748
1.11139,56732.1,5473.21,0.0332975
1.12293,27580.6,2558.06,0.026896
1.07367,515545,51354.5,0.0300965
1.08918,1.18668e+06,118468,0.0316147
1.06737,1.31163e+06,130963,0.0320091
1.06327,2.38695e+06,238495,0.0309762
1.11564,25069.9,2306.99,0.0278507
1.07367,1.76135e+06,175935,0.0315048
1.11669,270091,26809.1,0.0325386
1.08944,1.0495e+06,104750,0.0307466
1.14709,30454.4,2845.44,0.0281975
1.11183,326043,32404.3,0.0346778
1.11798,85776,8377.6,0.0271673
1.07844,2.06068e+06,205868,0.0301804
1.10528,44922.4,4292.24,0.0295724
1.0711,475256,47325.6,0.0316165
1.07963,948507,94650.7,0.0297888
1.13519,227270,22527,0.0302486
1.07744,2.38148e+06,237948,0.0302367
1.0801,155194,15319.4,0.0316168
1.12667,309818,30781.8,0.0308194
1.09624,68646.7,6664.67,0.0246972
1.12475,102621,10062.1,0.0241155
1.10186,27942.7,2594.27,0.0288055
1.07618,1.29196e+06,128996,0.0349627
1.07634,396374,39437.4,0.0283703
1.14258,31854.1,2985.41,0.0290433
1.06365,644236,64223.6,0.0317798
1.0709,806858,80485.9,0.0274423
1.0607,3.27087e+06,326887,0.0300841
1.11971,261759,25975.9,0.0284079
1.12425,54671.2,5267.12,0.032905
1.1068,726765,72476.5,0.0313488
